Run Time, Comparisons, Swaps
77404, 704982704, -1790847419
78150, 704982704, -1790847419
78065, 704982704, -1790847419
77222, 704982704, -1790847419
77243, 704982704, -1790847419
77447, 704982704, -1790847419
77482, 704982704, -1790847419
77273, 704982704, -1790847419
77702, 704982704, -1790847419
77406, 704982704, -1790847419
Sorted
33465, 704982704, 0
33210, 704982704, 0
35070, 704982704, 0
33201, 704982704, 0
33436, 704982704, 0
33911, 704982704, 0
33006, 704982704, 0
33095, 704982704, 0
32863, 704982704, 0
33788, 704982704, 0
