,Run Time, Comparisons, Swaps
,506677,99960004,24987543
,380905,299880012,50061752
,443515,499800020,75235003
,416276,699720028,99911579
,377984,899640036,124836122
,552112,1099560044,149798605
,525501,1299480052,174788858
,404247,1499400060,199859188
,481214,1699320068,224586218
,465915,1899240076,249540333
Average,455435,999600040,137360520
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,310391,199920008,0
,245319,399840016,0
,247534,599760024,0
,260994,799680032,0
,345733,999600040,0
,223533,1199520048,0
,235747,1399440056,0
,534203,1599360064,0
,483191,1799280072,0
,249930,1999200080,0
Average,313658,1099560044,0
